id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket,explanation
unifai-network,uai,UnifAI Network,0.519519,123580651,236,7472438.0,26.77194,61.124898461657295,239000000.0,0.06046608380465644,0.06046608380465644,1.0,0.8650564593788437,0.040218273880628194,0.5281124497991968,0.0,0.6923787170720055,High,speculative,Explosive 7d momentum | Very strong 24h price expansion | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
sahara-ai,sahara,Sahara AI,0.02734226,79537781,321,138692097.0,17.73118,20.67752276623779,2909166667.0,1.7437260036208453,1.5,0.8231754818209752,0.5961986253848209,1.0,0.357429718875502,0.08,0.6137616855732588,High,speculative,Strong 7d momentum | Very strong 24h price expansion | Extremely high turnover relative to market cap | Smaller-cap profile | Classified as High risk / speculative
dexe,dexe,DeXe,6.09,285122478,135,19007604.0,11.67763,41.0404856210962,46752636.689831376,0.06666469838972149,0.06666469838972149,0.7047765792925775,0.7315533175676803,0.04435108168673141,0.7309236947791165,0.0,0.5991624343033638,High,momentum,Explosive 7d momentum | Positive 24h continuation | Relatively calm trading activity | Mid-cap profile | Classified as High risk / momentum
river,river,River,25.29,497970410,99,51552039.0,3.41598,38.519606032267404,19600000.0,0.10352430177528019,0.10352430177528019,0.5431903541728155,0.7147967736792469,0.0689265177799414,0.8032128514056225,0.0,0.561309288920589,Medium,momentum,Strong 7d momentum | Mild positive 24h movement | Healthy liquidity profile | Established mid-to-large cap profile | Classified as Medium risk / momentum
kaspa,kas,Kaspa,0.03918689,1049313180,65,39484631.0,3.98385,28.47372648492028,26777148610.50726,0.03762902415845001,0.03762902415845001,0.5542970906792952,0.6480207871232027,0.02499210082549281,0.8714859437751004,0.0,0.5505770720579442,Medium,safer,Strong 7d momentum | Mild positive 24h movement | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
quant-network,qnt,Quant,74.2,1078882160,63,38694887.0,6.40845,19.53131721727371,14544176.164081175,0.03586572142410808,0.03586572142410808,0.6017188480068721,0.5885796801279768,0.023816452427773468,0.8755020080321285,0.0,0.548511298444017,Medium,safer,Healthy 7d uptrend | Positive 24h continuation | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
zano,zano,Zano,8.25,125450431,231,2110244.0,12.34963,30.674726469061635,15204627.93,0.01682133718615921,0.01682133718615921,0.7179199517763404,0.6626510586348384,0.011118973215134512,0.5381526104417671,0.0,0.5381616394259581,High,speculative,Strong 7d momentum | Positive 24h continuation | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
official-trump,trump,Official Trump,3.37,782691725,78,152833871.0,-1.86026,22.94879790986118,232498807.465716,0.195267007582072,0.195267007582072,0.4399945392416704,0.6112960230532735,0.1300942134816352,0.8453815261044176,0.0,0.5166803231208945,High,speculative,Strong 7d momentum | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as High risk / speculative
memecore,m,MemeCore,1.82,3187278722,32,13253460.0,-2.52516,24.094151150166077,1747863673.530089,0.004158236902382834,0.004158236902382834,0.42699003274694725,0.6189093029274801,0.0026760931192574703,0.9377510040160643,0.0,0.5103414989219464,High,speculative,Strong 7d momentum | Minor 24h pullback | Relatively calm trading activity | Established mid-to-large cap profile | Classified as High risk / speculative
siren-2,siren,Siren,0.829319,601901721,89,27089402.0,-7.518,47.1555515904663,728213818.6871624,0.04500635411873162,0.04500635411873162,0.32933712222338923,0.7722007851224564,0.029910794580305603,0.8232931726907631,0.0,0.5070906922108291,Medium,balanced,Explosive 7d momentum | Heavy 24h weakness | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / balanced
sun-token,sun,Sun Token,0.01737491,334060331,123,62196293.0,4.02434,9.11484115014367,19221656671.77119,0.18618281558249428,0.18618281558249428,0.555089017988622,0.5193403006847189,0.12403750208382512,0.7550200803212851,0.0,0.5067613424011203,Medium,balanced,Moderately positive 7d trend | Mild positive 24h movement | Healthy liquidity profile | Mid-cap profile | Classified as Medium risk / balanced
lombard-protocol,bard,Lombard,0.59565,133665721,217,239420365.0,2.16944,-48.712549602794525,225000000.0,1.7911874728151131,1.5,0.5188097893872353,0.13495573293335278,1.0,0.5662650602409639,0.0,0.4997588645321139,High,speculative,Negative 7d trend | Mild positive 24h movement | Extremely high turnover relative to market cap | Smaller-cap profile | Classified as High risk / speculative
aethir,ath,Aethir,0.00668279,122916327,238,37205550.0,6.04722,15.183602426313167,18367688543.0,0.30269005678960775,0.30269005678960775,0.5946536985391493,0.5596799762182915,0.20171647846161772,0.5240963855421686,0.0,0.49932141962954013,High,speculative,Healthy 7d uptrend | Positive 24h continuation | Elevated trading activity | Smaller-cap profile | Classified as High risk / speculative
leo-token,leo,LEO Token,9.22,8489653210,16,1226618.0,1.78729,1.6347602394656449,921076216.9,0.0001444838758025076,0.0001444838758025076,0.5113354742165953,0.46961943951219354,0.0,0.9698795180722891,0.0,0.49848908721742635,Low,safer,Moderately positive 7d trend | Mild positive 24h movement | Relatively calm trading activity | Large-cap profile | Classified as Low risk / safer
ripple,xrp,XRP,1.43,87713447273,4,2883794172.0,-0.64949,4.640859136242126,61227832454.0,0.03287744652224712,0.03287744652224712,0.4636754932627503,0.4896012856582878,0.02182407724914092,0.9939759036144579,0.0,0.4979800581693034,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / safer
fetch-ai,fet,Artificial Superintelligence Alliance,0.204685,461927958,103,102327892.0,-5.77464,28.982477030882308,2260092822.776148,0.22152348700227406,0.22152348700227406,0.36343478569555143,0.6514025039213612,0.14760021931881867,0.7951807228915663,0.0,0.4973240666546854,Medium,balanced,Strong 7d momentum | Heavy 24h weakness | Healthy liquidity profile | Mid-cap profile | Classified as Medium risk / balanced
just,jst,JUST,0.059369,522700183,96,30822842.0,2.12337,12.253086828227746,8815108920.581306,0.05896849284248289,0.05896849284248289,0.5179087251456773,0.540200539972044,0.039219783728694425,0.8092369477911646,0.0,0.49669790466762787,Medium,balanced,Healthy 7d uptrend | Mild positive 24h movement | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / balanced
aave,aave,Aave,111.21,1688324085,49,392934908.0,-1.98372,3.306457107008777,15184035.409421552,0.23273665967988605,0.23273665967988605,0.43757983571957915,0.4807313791912155,0.15507638789443465,0.9036144578313253,0.0,0.49288160257489333,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as Low risk / safer
bitcoin-cash,bch,Bitcoin Cash,452.82,9060632512,15,208434849.0,1.07736,-0.7204066715261247,20009778.02165078,0.023004447948191988,0.023004447948191988,0.49745024441392,0.453964404704698,0.015241444143541444,0.9718875502008032,0.0,0.4924943696098619,Low,balanced,Negative 7d trend | Mild positive 24h movement | Relatively calm trading activity | Large-cap profile | Classified as Low risk / balanced
ethereum,eth,Ethereum,2114.84,255073731952,2,26147497837.0,-2.78085,3.4203013186782134,120691801.1632979,0.10250956708439292,0.10250956708439292,0.42198909686841546,0.48148811328424257,0.06824996281849453,0.9979919678714859,0.0,0.49136633186479195,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Healthy liquidity profile | Large-cap profile | Classified as Low risk / safer
build-on,b,BUILDon,0.239371,239522827,153,4714265.0,-0.93643,32.334673296067116,1000000000.0,0.019681902802524954,0.019681902802524954,0.45806335144654353,0.6736848945952882,0.01302620066845467,0.6947791164658634,0.0,0.4899862802549749,Medium,speculative,Strong 7d momentum | Minor 24h pullback | Relatively calm trading activity | Mid-cap profile | Classified as Medium risk / speculative
sosovalue,soso,SoSoValue,0.435213,135905746,216,3852303.0,5.57798,24.033362587057976,312001548.0,0.028345401967036773,0.028345401967036773,0.5854760257649217,0.6185052351448895,0.018802423158804486,0.5682730923694779,0.0,0.4899429534307222,High,speculative,Strong 7d momentum | Positive 24h continuation | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
tron,trx,TRON,0.299469,28375066763,8,509243909.0,-1.02746,3.4486989647535347,94751106508.4111,0.017946879676210472,0.017946879676210472,0.4562829329983338,0.48167687533574954,0.011869407158905174,0.9859437751004017,0.0,0.4898388494688749,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / safer
conflux-token,cfx,Conflux,0.06165,319925022,127,13952562.0,1.1269,18.949571404880793,5189835932.13,0.04361197480827242,0.04361197480827242,0.4984191769627974,0.5847127563445195,0.02898111882456185,0.7469879518072289,0.0,0.48952215528131793,Medium,momentum,Healthy 7d uptrend | Mild positive 24h movement | Relatively calm trading activity | Mid-cap profile | Classified as Medium risk / momentum
litecoin,ltc,Litecoin,54.95,4228699633,24,368853662.0,-1.05602,1.71766326063802,76966739.48347135,0.08722626197461114,0.08722626197461114,0.45572433966777387,0.4701705043543679,0.058060111232472685,0.9538152610441767,0.0,0.48809681223067847,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as Low risk / safer
solana,sol,Solana,87.41,49935383193,7,3740250188.0,-1.72484,0.6986877444673179,571567780.7802554,0.0749018020657607,0.0749018020657607,0.44264316350022875,0.4633972701096152,0.0498430131344517,0.9879518072289156,0.0,0.48722709716294216,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / safer
pepe,pepe,Pepe,3.36e-06,1415752458,55,337609727.0,-2.54165,2.675508557059177,420690000000000.0,0.23846663665831333,0.23846663665831333,0.4266675115977549,0.4765373997899677,0.15889674053295694,0.891566265060241,0.0,0.4864094899562523,High,speculative,Moderately positive 7d trend | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as High risk / speculative
dogecoin,doge,Dogecoin,0.092365,14174750143,10,1163842663.0,-1.555,-1.2974577506387843,153475526383.7052,0.08210674976692603,0.08210674976692603,0.4459649944267798,0.4501286872924627,0.05464677431258421,0.9819277108433735,0.0,0.4839693659492482,High,speculative,Negative 7d trend | Minor 24h pullback | Healthy liquidity profile | Large-cap profile | Classified as High risk / speculative
figure-heloc,figr_heloc,Figure Heloc,1.024,16226489828,9,38935849.0,-0.72603,-0.27390895044479546,15843541913.347,0.0023995238287958824,0.0023995238287958824,0.46217847878372165,0.45693232062283234,0.0015035047901284934,0.9839357429718876,0.0,0.4820345888542413,Low,balanced,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / balanced
fartcoin,fartcoin,Fartcoin,0.1894,189481169,181,77719703.0,-6.1955,26.84615618966797,999978899.994322,0.4101711183764124,0.4101711183764124,0.35520335750579474,0.6372021612734148,0.27337742208673993,0.6385542168674698,0.0,0.4817445021329859,High,speculative,Strong 7d momentum | Heavy 24h weakness | Elevated trading activity | Mid-cap profile | Classified as High risk / speculative
stellar,xlm,Stellar,0.163613,5399235669,21,91263875.0,-1.79936,3.706747766409652,32999794499.61902,0.016903110105750043,0.016903110105750043,0.44118565737301146,0.4833921520548241,0.011173493746420182,0.9598393574297188,0.0,0.4801761563361103,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Low risk / safer
htx-dao,htx,HTX DAO,1.67e-06,1528888123,52,17051152.0,-0.10878,4.5799848604910585,916533066327098.8,0.011152648610116778,0.011152648610116778,0.4742510184646781,0.4891966481350123,0.007339483447552773,0.8975903614457831,0.0,0.4793584996589168,Medium,safer,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
ether-fi,ethfi,Ether.fi,0.529351,417289264,112,204173127.0,-2.00157,-6.5727179518695165,788764625.0,0.4892843996101467,0.4892843996101467,0.43723071488797915,0.4150634943825953,0.3261246903290652,0.7771084337349398,0.0,0.47855700808515167,Medium,balanced,Negative 7d trend | Minor 24h pullback | Elevated trading activity | Mid-cap profile | Classified as Medium risk / balanced
cardano,ada,Cardano,0.264207,9733201356,13,446919627.0,-2.40524,0.8354943438598692,36840276194.44106,0.045917022637623525,0.045917022637623525,0.4293354988604188,0.46430663753720164,0.030517965410496756,0.9759036144578314,0.0,0.47735330756195027,Low,safer,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / safer
avalanche-2,avax,Avalanche,9.37,4046110919,27,303016357.0,-1.55065,-1.162100244769647,431771961.1772119,0.07489076870756939,0.07489076870756939,0.4460500742933041,0.45102842244751584,0.04983565685374818,0.9477911646586346,0.0,0.47657320167351364,Low,balanced,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Low risk / balanced
bitcoin,btc,Bitcoin,69447.0,1388479610384,1,48227704733.0,-2.571,-1.2848401256227726,20003043.0,0.034734182894959525,0.034734182894959525,0.4260934669810905,0.4502125579336014,0.023062020739531536,1.0,0.0,0.4755648405471451,Low,balanced,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / balanced
chainlink,link,Chainlink,8.94,6327568699,17,396880405.0,-2.15858,-1.0800120771099568,708099970.4525867,0.0627224173895927,0.0627224173895927,0.43415982067119996,0.45157407087523377,0.041722641175130595,0.9678714859437751,0.0,0.47548773647763265,Low,balanced,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / balanced
binancecoin,bnb,BNB,636.36,86822015496,5,1154527964.0,-2.00423,-1.6086717408794022,136357731.13,0.013297640666418191,0.013297640666418191,0.43717868903856427,0.4480600161392387,0.008769615905807368,0.9919678714859438,0.0,0.47428729049434626,Low,balanced,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / balanced
canton-network,cc,Canton,0.144985,5519188163,20,10926108.0,-1.12577,-1.2798345742979351,38073007596.16518,0.0019796585434878567,0.0019796585434878567,0.45436012801488335,0.4502458303440855,0.0012235676356531031,0.9618473895582329,0.0,0.4730587101540525,Low,balanced,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Large-cap profile | Classified as Low risk / balanced
aptos,apt,Aptos,0.936028,742762643,81,98121790.0,-1.19162,2.9031581291929105,793526458.7602051,0.13210383010605986,0.13210383010605986,0.4530721948630146,0.4780506097280966,0.08798137207992925,0.8393574297188755,0.0,0.472106418192756,Medium,balanced,Moderately positive 7d trend | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as Medium risk / balanced
bittensor,tao,Bittensor,245.12,2352556695,40,300787034.0,-8.31469,16.76860403989647,9597491.0,0.12785538161068633,0.12785538161068633,0.3137549891518281,0.5702156436967948,0.08514880024237517,0.9216867469879518,0.0,0.47113042307884134,Medium,balanced,Healthy 7d uptrend | Heavy 24h weakness | Healthy liquidity profile | Established mid-to-large cap profile | Classified as Medium risk / balanced
aster-2,aster,Aster,0.68394,1678396903,50,192202180.0,-1.15826,-2.9071784789419333,2455859719.12999,0.1145153328491336,0.1145153328491336,0.4537246694256014,0.43942870933577477,0.07625457768684198,0.9016064257028112,0.0,0.4710676161411187,Low,balanced,Negative 7d trend | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as Low risk / balanced
ethereum-classic,etc,Ethereum Classic,8.28,1291927934,59,44083980.0,-0.68139,1.7028668076105171,155962582.4242165,0.034122630868046545,0.034122630868046545,0.4630515742415717,0.4700721508210825,0.02265428011362558,0.8835341365461847,0.0,0.4699827467333172,Medium,safer,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
tether-gold,xaut,Tether Gold,4599.31,2596042041,35,1001304973.0,-5.32592,-9.953924411517036,564598.641692,0.3857044520797882,0.3857044520797882,0.37221111620286407,0.3925882699855184,0.25706473994262985,0.9317269076305221,0.0,0.4695010728963498,Medium,balanced,Negative 7d trend | Heavy 24h weakness | Elevated trading activity | Established mid-to-large cap profile | Classified as Medium risk / balanced
