id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket,explanation
unifai-network,uai,UnifAI Network,0.525987,123580651,236,4721647.0,28.25632,63.131016927654684,239000000.0,0.03820700863600403,0.03820700863600403,1.0,0.8789813417960999,0.025377474093477324,0.5281124497991968,0.0,0.6938848378354953,High,speculative,Explosive 7d momentum | Very strong 24h price expansion | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
sahara-ai,sahara,Sahara AI,0.02729812,79542146,321,138526214.0,17.54113,20.482715210592666,2909166667.0,1.741544840894788,1.5,0.7947523817112769,0.5957210827136693,1.0,0.357429718875502,0.08,0.6045230307368099,High,speculative,Strong 7d momentum | Very strong 24h price expansion | Extremely high turnover relative to market cap | Smaller-cap profile | Classified as High risk / speculative
dexe,dexe,DeXe,6.09,284647813,135,19041124.0,11.58804,40.927337706828645,46752636.689831376,0.06689362478959218,0.06689362478959218,0.6807219684420384,0.7315095861702903,0.04450372689431529,0.7309236947791165,0.0,0.5914793155493394,High,momentum,Explosive 7d momentum | Positive 24h continuation | Relatively calm trading activity | Mid-cap profile | Classified as High risk / momentum
river,river,River,25.29,496169566,99,51574840.0,3.20896,38.52667925796725,19600000.0,0.10394599655876516,0.10394599655876516,0.5202221347059428,0.7155649621919605,0.06920768728942076,0.8032128514056225,0.0,0.55424052575671,Medium,momentum,Strong 7d momentum | Mild positive 24h movement | Healthy liquidity profile | Established mid-to-large cap profile | Classified as Medium risk / momentum
kaspa,kas,Kaspa,0.03914439,1049313180,65,39439706.0,3.87109,28.33440665050764,26777148610.50726,0.03758621043909884,0.03758621043909884,0.5329051207750196,0.6478702202399554,0.024963568766033263,0.8714859437751004,0.0,0.543681335852899,Medium,safer,Strong 7d momentum | Mild positive 24h movement | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
quant-network,qnt,Quant,74.18,1079101101,63,38501745.0,6.30007,19.498150169784243,14544176.164081175,0.03567946039932731,0.03567946039932731,0.5794318141767179,0.5891818270501471,0.02369227963616785,0.8755020080321285,0.0,0.5415377405925297,Medium,safer,Healthy 7d uptrend | Positive 24h continuation | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
zano,zano,Zano,8.24,125423044,231,2108288.0,12.16939,30.465085808923703,15204627.93,0.016809415022649266,0.016809415022649266,0.6918576275290119,0.6620217035613422,0.011111037697233738,0.5381526104417671,0.0,0.529631460751542,High,speculative,Strong 7d momentum | Positive 24h continuation | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
official-trump,trump,Official Trump,3.37,782691725,78,153232509.0,-1.91903,23.04506015371662,232498807.465716,0.19577632432488026,0.19577632432488026,0.4219963697770531,0.6127395913816821,0.13043380243088332,0.8453815261044176,0.0,0.5114151054016042,High,speculative,Strong 7d momentum | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as High risk / speculative
memecore,m,MemeCore,1.82,3184230918,32,13256089.0,-2.42518,24.170677122269257,1747863673.530089,0.004163042612602382,0.004163042612602382,0.4123011537335824,0.6202156816667084,0.002679310705347143,0.9377510040160643,0.0,0.5060335504249341,High,speculative,Strong 7d momentum | Minor 24h pullback | Relatively calm trading activity | Established mid-to-large cap profile | Classified as High risk / speculative
sun-token,sun,Sun Token,0.01739267,334028343,123,61623281.0,4.13066,9.226373231518659,19221656671.77119,0.18448518603704236,0.18448518603704236,0.5378771394027064,0.5209590355290952,0.12290565187641658,0.7550200803212851,0.0,0.5015354286696067,Medium,balanced,Moderately positive 7d trend | Mild positive 24h movement | Healthy liquidity profile | Mid-cap profile | Classified as Medium risk / balanced
siren-2,siren,Siren,0.827693,601901721,89,27114301.0,-7.6822,46.86707806381638,728213818.6871624,0.045047721337218107,0.045047721337218107,0.3116038413857675,0.7709599821922639,0.02993838848508145,0.8232931726907631,0.0,0.5010487683665921,Medium,balanced,Explosive 7d momentum | Heavy 24h weakness | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / balanced
