id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score
unifai-network,uai,UnifAI Network,0.515996,122894421,238,7212235.0,25.96064,60.03249047468763,239000000.0,0.05868643133930384,0.05868643133930384,1.0,0.8582438787116307,0.03798142505539928,0.526,0.0,0.6895098201234611
sahara-ai,sahara,Sahara AI,0.02723756,78779043,322,137156447.0,16.41655,20.21540944975192,2909166667.0,1.741027077467798,1.5,0.8150536104996781,0.5930195459083721,1.0,0.358,0.08,0.6103230191324087
dexe,dexe,DeXe,6.13,286348364,135,18926354.0,11.74488,41.79219230841616,46752636.689831376,0.06609555485359783,0.06609555485359783,0.7245254931582689,0.7367439900519833,0.042926715656828145,0.732,0.0,0.6069981636444701
river,river,River,25.54,499986665,99,51989001.0,4.58871,39.881808771445996,19600000.0,0.1039807751672737,0.1039807751672737,0.5858524709895216,0.7240187930775007,0.0682135695726568,0.804,0.0,0.5777568711629754
kaspa,kas,Kaspa,0.03924898,1051290205,65,39518897.0,4.43316,28.67728993016897,26777148610.50726,0.0375908543730796,0.0375908543730796,0.5828382065717747,0.6493847175108315,0.02390097973666189,0.872,0.0,0.5600258177088164
quant-network,qnt,Quant,74.14,1076596018,63,38752848.0,6.65191,19.4342451752456,14544176.164081175,0.03599571924108677,0.03599571924108677,0.6258333796793039,0.587816156604522,0.0228362914829117,0.876,0.0,0.555922060945658
zano,zano,Zano,8.29,126008763,232,2112710.0,12.60462,31.298985303654366,15204627.93,0.016766373621174266,0.016766373621174266,0.7411856261734654,0.6668480118645937,0.010001480188118198,0.538,0.0,0.5466340703687483
official-trump,trump,Official Trump,3.37,782649557,77,153084357.0,-1.77033,22.934270822819272,232498807.465716,0.1955975770136416,0.1955975770136416,0.46262631860745823,0.6111300697110773,0.12936408329128074,0.848,0.0,0.5242649778601404
memecore,m,MemeCore,1.83,3178142410,32,13376767.0,-1.68938,24.409639806507084,1747848253.790784,0.004208989174906105,0.004208989174906105,0.46419497630348283,0.6209576046348998,0.0016199334152977435,0.938,0.0,0.522721261822338
siren-2,siren,Siren,0.83196,605843714,89,27075502.0,-6.90489,47.62412722507975,728213818.6871624,0.044690571799842094,0.044690571799842094,0.36312826969207995,0.7755909122122353,0.028639754275328073,0.824,0.0,0.5188334757346953
sun-token,sun,Sun Token,0.01731693,332720542,123,61992642.0,3.60593,8.750748583379227,19221656671.77119,0.18632045267586755,0.18632045267586755,0.5668080557887926,0.5166526463057853,0.12317197761138876,0.756,0.0,0.5097453277141992
build-on,b,BUILDon,0.239568,239148084,153,4836102.0,0.56439,32.44356302220752,1000000000.0,0.02022220675621219,0.02022220675621219,0.5078687706897617,0.6744721232743333,0.012308109182740647,0.696,0.0,0.506275103255917
ripple,xrp,XRP,1.43,87655600728,4,2892115956.0,-0.4955,4.665569928945714,61227832454.0,0.03299408060614849,0.03299408060614849,0.487330109720775,0.4894409885168656,0.020832818966681075,0.994,0.0,0.5053278390797104
fetch-ai,fet,Artificial Superintelligence Alliance,0.20393,460437311,103,104609690.0,-6.32466,28.506704809656945,2260092822.776148,0.22719637940027845,0.22719637940027845,0.3743720282463027,0.6482484382153797,0.1504550072254775,0.796,0.0,0.5005554818040168
just,jst,JUST,0.059254,522333026,96,30695030.0,1.76699,12.036310042386523,8815108920.581306,0.05876524836091831,0.05876524836091831,0.5311728811930247,0.5385379986073161,0.03803403223295148,0.81,0.0,0.500382847365894
