id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket,explanation
turbo,turbo,Turbo,0.00097059,66962904,366,9090116.0,-2.57474,2.4071849039182385,69000000000.0,0.13574853324760228,0.13574853324760228,0.4357299200018422,0.4764122316644628,0.08939076815433228,0.26411290322580644,0.08,0.2712701628128695,High,speculative,Moderately positive 7d trend | Minor 24h pullback | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
threshold-network-token,t,Threshold Network,0.00647563,72214341,342,2933112.0,-1.20597,-1.819345492364102,11155000000.0,0.040616752287471546,0.040616752287471546,0.46035360808440307,0.44848427518727896,0.025892300243256672,0.3125,0.08,0.26901905118697883,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
aleo,aleo,ALEO,0.060394,58379403,400,2532201.0,-2.70806,13.3810419483822,966542623.222185,0.043374903987969865,0.043374903987969865,0.43333154036525817,0.5489249958443215,0.027733308636880366,0.19556451612903225,0.08,0.267448490450624,High,speculative,Healthy 7d uptrend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
nexpace,nxpc,Nexpace,0.281974,72103069,343,15066945.0,-6.15004,0.8307103243769532,255928724.1697733,0.20896399014582862,0.20896399014582862,0.37141153780353253,0.46599524436832446,0.13826054956203204,0.31048387096774194,0.08,0.2656339385223419,High,speculative,Moderately positive 7d trend | Heavy 24h weakness | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
ethgas-2,gwei,ETHGas,0.04197815,73461356,337,6218790.0,4.5686,-24.48456891933798,1750000000.0,0.0846538961246509,0.0846538961246509,0.5642360795667661,0.29871760748013215,0.05528616984833078,0.3225806451612903,0.08,0.2646384673103624,High,speculative,Negative 7d trend | Mild positive 24h movement | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
arkham,arkm,Arkham,0.106509,60581283,390,13487637.0,-3.47172,1.0659936660582743,568532082.0,0.2226370313088285,0.2226370313088285,0.41959356711838064,0.4675499434501203,0.1473870176757682,0.2157258064516129,0.08,0.2642097489848788,High,speculative,Moderately positive 7d trend | Minor 24h pullback | Healthy liquidity profile | Smaller-cap profile | Classified as High risk / speculative
superfarm,super,SuperVerse,0.112158,71451538,347,5363557.0,-2.34031,-2.116878684445306,637164549.0,0.07506566198756981,0.07506566198756981,0.43994723276965175,0.4465182431799686,0.04888622472449793,0.3024193548387097,0.08,0.26402197885843065,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
dydx-chain,dydx,dYdX,0.085061,70588560,351,3704952.0,-2.6191,0.43963987752816586,829840013.9170294,0.05248657856173861,0.05248657856173861,0.43493189929467996,0.4634111393471675,0.033815160250497245,0.29435483870967744,0.08,0.2631592461654728,High,speculative,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
gmx,gmx,GMX,6.45,66786233,367,4505065.0,-1.39596,-1.5168112498812325,10369734.97977987,0.06745499480409384,0.06745499480409384,0.4569357551954548,0.4504833530040034,0.04380626405252901,0.2620967741935484,0.08,0.2616689299319115,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
ankr,ankr,Ankr Network,0.00481734,48146759,464,43429915.0,-4.28387,10.317089841377642,10000000000.0,0.9020319519326316,0.9020319519326316,0.4049832759253739,0.5286790936338781,0.6008688733792614,0.06653225806451613,0.15,0.2596612252074534,High,speculative,Healthy 7d uptrend | Minor 24h pullback | Elevated trading activity | Smaller-cap profile | Classified as High risk / speculative
proton,xpr,XPR Network,0.00230319,65855755,373,1253008.0,-1.44569,0.9951773749376858,28600905065.324,0.019026552804686545,0.019026552804686545,0.4560411300879892,0.4670820054227418,0.01148129505429778,0.25,0.08,0.25812439636475265,High,speculative,Moderately positive 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
nervos-network,ckb,Nervos Network,0.00146719,71010520,349,2866098.0,-2.05296,-3.420782752204401,48418160046.28784,0.040361597126735586,0.040361597126735586,0.44511655761642943,0.43790234014829277,0.025721989526661052,0.29838709677419356,0.08,0.25811537795138295,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
home,home,HOME,0.02130881,73228911,340,4269887.0,-1.94565,-7.859202204192268,3440833332.9,0.05830876004697107,0.05830876004697107,0.4470470265543369,0.40857426873737024,0.037701344241601445,0.3165322580645161,0.08,0.25572002269499033,High,speculative,Negative 7d trend | Minor 24h pullback | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
