id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket
unifai-network,uai,UnifAI Network,0.514227,122096175,238,7294975.0,25.43225,59.48372012586811,239000000.0,0.059747776701440485,0.059747776701440485,1.0,0.8544795314217138,0.03866141168022997,0.5250501002004008,0.0,0.6883129335690358,High,speculative
sahara-ai,sahara,Sahara AI,0.02730556,79582062,321,138199721.0,17.32744,20.515552193962908,2909166667.0,1.7365687383169337,1.5,0.839298368755936,0.5950301278120665,1.0,0.3587174348697395,0.08,0.6188280033194674,High,speculative
dexe,dexe,DeXe,6.11,286214939,135,19021316.0,11.53735,41.32421561596853,46752636.689831376,0.06645815227695015,0.06645815227695015,0.7244928510386863,0.7335738572526538,0.04314044867007162,0.7314629258517034,0.0,0.6059677354391293,High,momentum
river,river,River,25.45,499134487,99,51934791.0,4.58553,39.36765100035244,19600000.0,0.10404969472686426,0.10404969472686426,0.5866526284899641,0.7205470831037538,0.06823202621945187,0.8036072144288577,0.0,0.5768961736531876,High,momentum
kaspa,kas,Kaspa,0.03923297,1051390487,65,39471164.0,4.39056,28.624810686219064,26777148610.50726,0.037541869065817406,0.037541869065817406,0.5827867763547931,0.6490214338239082,0.023839427340641244,0.8717434869739479,0.0,0.5598379928968112,Medium,safer
quant-network,qnt,Quant,74.16,1078525628,63,38793524.0,6.43303,19.457439520309983,14544176.164081175,0.035969033088196586,0.035969033088196586,0.6232847350690706,0.5879852315107886,0.022789591836883717,0.875751503006012,0.0,0.5550991118071806,Medium,safer
zano,zano,Zano,8.25,125490591,231,2108400.0,12.21119,30.749943161871702,15204627.93,0.01680125962591092,0.01680125962591092,0.7378537055432952,0.6631705299364853,0.009995499258248578,0.5390781563126252,0.0,0.5446791658838098,High,speculative
official-trump,trump,Official Trump,3.37,782756152,78,152995008.0,-1.76971,22.93505490567872,232498807.465716,0.1954567940591542,0.1954567940591542,0.46064135432714903,0.6111391359821076,0.12924437559340787,0.845691382765531,0.0,0.5231492383392395,High,speculative
memecore,m,MemeCore,1.82,3189328257,32,13364825.0,-1.85944,24.194427543795204,1747863673.530089,0.004190482735876001,0.004190482735876001,0.4588621938814964,0.6195240177259093,0.0015780663552002897,0.9378757515030061,0.0,0.5205523096043889,High,speculative
siren-2,siren,Siren,0.82826,604987064,89,27076181.0,-7.31884,46.967712348898544,728213818.6871624,0.044754975124559025,0.044754975124559025,0.35061357539274185,0.7711481631371464,0.028654026536350317,0.8236472945891784,0.0,0.5134279767612,High,balanced
sun-token,sun,Sun Token,0.01733917,333015457,123,61398634.0,3.76654,8.890414909240894,19221656671.77119,0.18437172422299905,0.18437172422299905,0.5704137494819952,0.5176301602110253,0.12184532061169832,0.7555110220440882,0.0,0.5108558100164694,Medium,balanced
aethir,ath,Aethir,0.00672601,123571842,236,37595069.0,6.00246,15.928590624702233,18367688543.0,0.30423653472770923,0.30423653472770923,0.6147474218729863,0.5644902151940379,0.20185260395815693,0.5290581162324649,0.0,0.5082113315165282,High,speculative
build-on,b,BUILDon,0.239413,239554401,153,4731301.0,0.49945,32.35803418543111,1000000000.0,0.019750424038337745,0.019750424038337745,0.505634107217566,0.6738771727979506,0.0119640055428437,0.6953907815631263,0.0,0.5051977434593434,Medium,speculative
ripple,xrp,XRP,1.43,87779028220,4,2838876220.0,-0.46364,4.699624373195512,61227832454.0,0.032341167105255975,0.032341167105255975,0.4865380230360928,0.4897279476376775,0.02036806628307072,0.9939879759519038,0.0,0.5050743987841864,Low,safer
