id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,price_change_percentage_7d_in_currency,circulating_supply,volume_to_mcap,volume_to_mcap_capped,norm_24h,norm_7d,norm_volume_to_mcap,norm_rank_strength,rank_penalty,final_score,risk_level,bucket,explanation
unifai-network,uai,UnifAI Network,0.512937,122096175,238,7341616.0,25.11765,59.08371118634689,239000000.0,0.06012977884032813,0.06012977884032813,1.0,0.8533586677856013,0.03890648276442291,0.5250501002004008,0.0,0.6880207872733568,High,speculative,Explosive 7d momentum | Very strong 24h price expansion | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
sahara-ai,sahara,Sahara AI,0.02740653,79519861,321,138819604.0,17.76128,20.961173552339023,2909166667.0,1.7457224176988941,1.5,0.8534977835584427,0.598780442549829,1.0,0.3587174348697395,0.08,0.6244969104775983,High,speculative,Strong 7d momentum | Very strong 24h price expansion | Extremely high turnover relative to market cap | Smaller-cap profile | Classified as High risk / speculative
dexe,dexe,DeXe,6.1,285115889,135,20024957.0,11.35677,41.09541362098608,46752636.689831376,0.0702344477196078,0.0702344477196078,0.7259518729772568,0.7332347423227444,0.04565120990091866,0.7314629258517034,0.0,0.6067848250020516,High,momentum,Explosive 7d momentum | Positive 24h continuation | Relatively calm trading activity | Mid-cap profile | Classified as High risk / momentum
river,river,River,25.41,498525125,99,51720979.0,4.42099,39.14838811251598,19600000.0,0.10374798862945975,0.10374798862945975,0.587825712554246,0.720232714409657,0.06802103631633433,0.8036072144288577,0.0,0.5771392717629675,High,momentum,Strong 7d momentum | Mild positive 24h movement | Healthy liquidity profile | Established mid-to-large cap profile | Classified as High risk / momentum
kaspa,kas,Kaspa,0.03921913,1050023529,65,39355607.0,4.35374,28.57943877520677,26777148610.50726,0.03748069058745825,0.03748069058745825,0.5864864278179298,0.6496544021595628,0.023788528679923662,0.8717434869739479,0.0,0.5612026101067822,Medium,safer,Strong 7d momentum | Mild positive 24h movement | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
quant-network,qnt,Quant,74.12,1078525628,63,38667509.0,6.37601,19.393440431985095,14544176.164081175,0.03585219302735011,0.03585219302735011,0.6267599645273759,0.5883112886006698,0.022701529015055722,0.875751503006012,0.0,0.5562931510528737,Medium,safer,Healthy 7d uptrend | Positive 24h continuation | Relatively calm trading activity | Established mid-to-large cap profile | Classified as Medium risk / safer
zano,zano,Zano,8.25,125490591,231,2110081.0,12.19108,30.7265115269314,15204627.93,0.016814655052505092,0.016814655052505092,0.7425671688635915,0.6639923241476978,0.009994234938917821,0.5390781563126252,0.0,0.5464337848321889,High,speculative,Strong 7d momentum | Positive 24h continuation | Relatively calm trading activity | Smaller-cap profile | Classified as High risk / speculative
official-trump,trump,Official Trump,3.36,782756152,78,152999780.0,-1.81346,22.880293691238627,232498807.465716,0.19546289046604645,0.19546289046604645,0.46366654936723034,0.6115961213922431,0.1292394685706298,0.845691382765531,0.0,0.5242535131110062,High,speculative,Strong 7d momentum | Minor 24h pullback | Healthy liquidity profile | Established mid-to-large cap profile | Classified as High risk / speculative
memecore,m,MemeCore,1.82,3187112538,32,13363899.0,-1.84041,24.218506052676165,1747863673.530089,0.0041931054647936,0.0041931054647936,0.4631298397219705,0.6205325602839561,0.0015695246365914175,0.9378757515030061,0.0,0.5222189815314051,High,speculative,Strong 7d momentum | Minor 24h pullback | Relatively calm trading activity | Established mid-to-large cap profile | Classified as High risk / speculative
siren-2,siren,Siren,0.828786,604987064,89,27065565.0,-7.26004,47.06095532056905,728213818.6871624,0.04473742764192393,0.04473742764192393,0.35519782878544104,0.7730719911709177,0.02863230059550156,0.8236472945891784,0.0,0.5154681755876425,High,balanced,Explosive 7d momentum | Heavy 24h weakness | Relatively calm trading activity | Established mid-to-large cap profile | Classified as High risk / balanced
sun-token,sun,Sun Token,0.01734762,333287595,123,61474813.0,3.81711,8.943485261838974,19221656671.77119,0.18444974827220917,0.18444974827220917,0.5757994334974929,0.5185276066603577,0.12188834802424768,0.7555110220440882,0.0,0.5128562077704872,Medium,balanced,Moderately positive 7d trend | Mild positive 24h movement | Healthy liquidity profile | Mid-cap profile | Classified as Medium risk / balanced
