id,ts,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_24h,price_change_7d,volume_to_mcap,final_score,risk_level,bucket,future_price_6h,future_return_6h,target_up_6h_3pct,rank_strength,score_x_liquidity,score_x_rank,price_lag_1,price_lag_2,score_lag_1,score_lag_2,volume_to_mcap_lag_1,rank_lag_1,price_return_1,price_return_2,score_delta_1,volume_to_mcap_delta_1,rank_change_1
117,2026-03-29 21:01:27.355962,ATH,Aethir,0.00693424,127333321.0,223,15342581.0,-0.94858,-9.328453699603527,0.12049148549263079,0.3261255905583707,High,speculative,0.00657363,-0.052004257135605456,0,0.004484304932735426,0.03929535686353958,0.0014624465944321557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2026-03-29 21:01:27.355962,ATOM,Cosmos Hub,1.65,824064555.0,75,26124320.0,-2.17493,-7.473241211528067,0.031701788217307805,0.29988390154761374,Medium,balanced,1.69,0.024242424242424267,1,0.013333333333333334,0.009506855936642435,0.00399845202063485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2026-03-29 21:01:27.355962,AVAX,Avalanche,8.63,3727323431.0,28,214121608.0,-2.75648,-3.8068380718954393,0.057446479213249683,0.3887051538375265,Low,balanced,8.81,0.020857473928157556,1,0.03571428571428571,0.022329742540010487,0.013882326922768803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2026-03-29 21:01:27.355962,AXS,Axie Infinity,1.12,190065925.0,169,18376699.0,-4.13227,1.3796551560791217,0.09668592095084903,0.4052464199554696,Medium,speculative,1.099,-0.018750000000000114,0,0.005917159763313609,0.039181623325429106,0.0023979078103873942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2026-03-29 21:01:27.355962,B,BUILDon,0.198846,198768270.0,164,3202186.0,-1.04504,-8.704508356276087,0.01611014675531462,0.2387431248484308,Medium,speculative,0.174171,-0.1240910050994237,0,0.006097560975609756,0.0038461867781306204,0.0014557507612709196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2026-03-29 21:01:27.355962,BANANAS31,Banana For Scale,0.01328692,132860740.0,212,10132072.0,-0.7747,-2.0437787385225388,0.0762608427440642,0.38684564999745136,High,speculative,0.01177273,-0.11396094806019756,0,0.0047169811320754715,0.029501175280680934,0.0018247436320634497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2026-03-29 21:01:27.355962,BAT,Basic Attention,0.091741,137213519.0,210,22640379.0,-4.0997,-0.7057061395545011,0.165001081271008,0.3596121293028423,High,speculative,0.093769,0.02210571064191585,1,0.004761904761904762,0.05933639017313852,0.0017124387109659159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2026-03-29 21:01:27.355962,BCH,Bitcoin Cash,453.66,9079669016.0,14,410224375.0,-5.88764,-2.7371626028581604,0.0451805428454618,0.2891502426802178,Medium,balanced,435.39,-0.04027245073402997,0,0.07142857142857142,0.013063964928189257,0.020653588762872696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2026-03-29 21:01:27.355962,BDX,Beldex,0.080122,609342433.0,87,13312595.0,-1.89856,0.4485293456192371,0.021847477344483574,0.4502401646129807,Medium,balanced,0.080131,0.00011232869873436912,0,0.011494252873563218,0.009836611795958652,0.00517517430589633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2026-03-29 21:01:27.355962,BGB,Bitget Token,1.94,1359319877.0,55,19989313.0,-0.20027,-4.893756616690012,0.014705378283819504,0.3867769587609374,Medium,balanced,1.9,-0.020618556701030948,0,0.01818181818181818,0.0056877014900448405,0.007032308341107952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
